personName,W,minutes
George Hill,17,446.717696031275
Georges Niang,8,109.53853631688997
Georgios Kalaitzakis,2,47.076190476190476
Gerald Green,12,242.64152204619666
Gerald Henderson,10,300.6836462148962
Gerald Wallace,10,274.4017995870435
Giannis Antetokounmpo,15,490.0247241799059
Gigi Datome,3,19.60925925925926
Gilbert Arenas,3,66.8725
Glen Davis,9,214.81815612749824
Glen Rice,2,14.0625
Glenn Robinson III,14,228.9724655067155
Goga Bitadze,6,71.96657152992776
Goran Dragic,17,434.39084490036333
Gordon Hayward,22,647.8396724127216
Gorgui Dieng,20,371.7375189786059
Gradey Dick,2,32.38974358974359
Grant Hill,3,76.68808547008547
Grant Williams,8,198.28178154756424
Grayson Allen,9,231.252212550455
Greg Brown III,3,19.4434126984127
Greg Monroe,19,434.12552901553056
Greg Oden,1,9.594791666666667
Greg Smith,6,57.397991622574956
Greg Stiemsma,4,55.51774198024198
Greivis Vasquez,9,211.4451158662783
Guerschon Yabusele,2,13.307484567901234
Gustavo Ayon,5,83.35345238095238
Hakim Warrick,3,46.84123931623932
Hamidou Diallo,11,189.17282249426987
Harrison Barnes,13,415.1161111746538
Harry Giles III,5,46.6121756021756
Hasheem Thabeet,6,40.49281216931217
Hassan Whiteside,10,204.91671804502687
Hassani Gravett,1,25.0
Haywood Highsmith,4,55.81289682539682
Hedo Turkoglu,6,129.37807760141095
Henry Ellenson,4,39.82837301587301
Henry Sims,5,91.7974567099567
Henry Walker,3,60.84357638888889
Herbert Jones,6,180.56536435786435
Hilton Armstrong,3,18.331666666666667
Hollis Thompson,9,194.36560185185186
Ian Clark,7,73.08707062720416
Ian Mahinmi,10,175.86036212033721
Ibou Badji,1,7.790000000000001
Ignas Brazdeikis,4,47.839814814814815
Iman Shumpert,20,444.9264699074074
Immanuel Quickley,8,202.8388385668277
Isaac Bonga,4,38.23162578162578
Isaac Humphries,1,4.983333333333333
Isaac Okoro,8,225.0930559944353
Isaiah Canaan,10,153.88691067947647
Isaiah Hartenstein,7,115.7478772921858
Isaiah Jackson,3,42.54898648648649
Isaiah Joe,6,92.94323540826989
Isaiah Livers,5,86.94179894179894
Isaiah Roby,7,94.0167297979798
Isaiah Stewart,6,157.30102513227513
Isaiah Taylor,2,26.109259259259257
Isaiah Thomas,14,312.3993605386988
Isaiah Todd,2,6.241666666666667
Isaiah Whitehead,2,36.325490196078434
Ish Smith,20,323.7158677379291
Ish Wainright,4,24.335479797979797
Ivan Johnson,4,70.7092563837129
Ivan Rabb,4,56.3704365079365
Ivica Zubac,12,221.27338067620252
J.J. Barea,15,301.10531158112383
JJ Hickson,14,325.3268189102564
JJ Redick,15,404.8299331605076
JR Smith,16,461.43458782267953
JT Thor,3,35.12130681818182
Ja Morant,5,162.17617003367005
JaKarr Sampson,11,181.9166963755199
JaMychal Green,15,259.7474829151367
JaVale McGee,17,272.8351533588294
Jabari Bird,1,9.908333333333333
Jabari Brown,1,32.108333333333334
Jabari Parker,10,241.72056016899768
Jabari Smith Jr.,4,127.19407407407408
Jabari Walker,3,44.184687208216616
Jacob Evans,3,19.191269841269843
Jacob Gilyard,2,20.846666666666664
Jaden Hardy,2,23.523030303030303
