personName,teamName,season_year,position,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints
Daniel Theis,Rockets,2021-22,C,22.471153846153847,3.230769230769231,6.884615384615385,46.927374301675975,0.8846153846153846,3.0384615384615383,29.11392405063291,1.0384615384615385,1.5384615384615385,67.5,1.2307692307692308,3.769230769230769,5.0,0.7692307692307693,0.4230769230769231,0.6538461538461539,1.1923076923076923,2.3846153846153846,8.384615384615385,-8.423076923076923
Danilo Gallinari,Bucks,2023-24,F,9.102941176470589,0.8235294117647058,2.176470588235294,37.83783783783784,0.17647058823529413,1.0,17.647058823529413,0.9411764705882353,1.0588235294117647,88.88888888888889,0.35294117647058826,0.7058823529411765,1.0588235294117647,0.7058823529411765,0.35294117647058826,0.058823529411764705,0.5882352941176471,0.8823529411764706,2.764705882352941,-2.823529411764706
Danilo Gallinari,Clippers,2017-18,F,31.955555555555552,4.857142857142857,12.19047619047619,39.84375,1.7142857142857142,5.285714285714286,32.43243243243243,3.857142857142857,4.142857142857143,93.10344827586206,0.42857142857142855,4.380952380952381,4.809523809523809,1.9523809523809523,0.6190476190476191,0.47619047619047616,1.2380952380952381,1.4285714285714286,15.285714285714286,0.5238095238095238
Danilo Gallinari,Clippers,2018-19,F,30.282598039215685,6.014705882352941,13.0,46.26696832579186,2.3676470588235294,5.470588235294118,43.27956989247312,5.397058823529412,5.970588235294118,90.39408866995075,0.7941176470588235,5.338235294117647,6.132352941176471,2.6176470588235294,0.7205882352941176,0.3382352941176471,1.4558823529411764,1.8970588235294117,19.794117647058822,1.5441176470588236
Danilo Gallinari,Hawks,2020-21,C,27.353846153846156,4.538461538461538,10.615384615384615,42.7536231884058,2.3846153846153846,5.846153846153846,40.78947368421053,4.3076923076923075,4.6923076923076925,91.80327868852459,0.3076923076923077,5.076923076923077,5.384615384615385,1.9230769230769231,0.6923076923076923,0.3076923076923077,1.0,2.1538461538461537,15.76923076923077,4.076923076923077
Danilo Gallinari,Hawks,2020-21,F,22.796929824561403,3.8684210526315788,8.868421052631579,43.62017804154302,1.894736842105263,4.684210526315789,40.44943820224719,2.763157894736842,2.973684210526316,92.92035398230087,0.34210526315789475,3.3684210526315788,3.710526315789474,1.3421052631578947,0.5526315789473685,0.15789473684210525,0.7894736842105263,2.026315789473684,12.394736842105264,1.0263157894736843
Danilo Gallinari,Hawks,2021-22,C,24.228787878787877,4.0,9.545454545454545,41.904761904761905,1.6363636363636365,4.2727272727272725,38.297872340425535,1.3636363636363635,1.6363636363636365,83.33333333333333,0.6363636363636364,5.181818181818182,5.818181818181818,1.6363636363636365,0.45454545454545453,0.18181818181818182,0.5454545454545454,1.1818181818181819,11.0,2.4545454545454546
Danilo Gallinari,Hawks,2021-22,F,25.555454545454545,3.909090909090909,8.945454545454545,43.69918699186992,1.709090909090909,4.490909090909091,38.05668016194331,2.290909090909091,2.5090909090909093,91.30434782608695,0.509090909090909,3.9272727272727272,4.4363636363636365,1.509090909090909,0.41818181818181815,0.18181818181818182,0.5818181818181818,1.4545454545454546,11.818181818181818,1.4545454545454546
Danilo Gallinari,Knicks,2010-11,F,34.81736111111111,4.395833333333333,10.604166666666666,41.45383104125737,1.7291666666666667,4.979166666666667,34.72803347280335,5.395833333333333,6.041666666666667,89.31034482758619,1.0,3.7708333333333335,4.770833333333333,1.7083333333333333,0.7916666666666666,0.375,1.2083333333333333,2.4375,15.916666666666666,0.3541666666666667
Danilo Gallinari,Nuggets,2010-11,F,30.91547619047619,3.857142857142857,9.357142857142858,41.221374045801525,1.4285714285714286,3.857142857142857,37.03703703703704,5.571428571428571,7.214285714285714,77.22772277227722,0.7857142857142857,4.642857142857143,5.428571428571429,1.5714285714285714,0.9285714285714286,0.6428571428571429,1.7857142857142858,1.9285714285714286,14.714285714285714,3.5714285714285716
