personName,teamName,season_year,position,mean_minutes_played,total_minutes_played
Alec Burks,Jazz,2012-13,G,17.759635416666665,1136.6166666666666
Alec Burks,Jazz,2013-14,G,28.116666666666667,2193.1
Alec Burks,Jazz,2014-15,G,33.29876543209876,899.0666666666666
Alec Burks,Jazz,2015-16,G,25.718279569892474,797.2666666666667
Alec Burks,Jazz,2016-17,G,15.54920634920635,653.0666666666667
Alec Burks,Jazz,2017-18,G,16.541666666666668,1058.6666666666667
Alec Burks,Jazz,2018-19,G,15.84313725490196,269.3333333333333
Alec Burks,Kings,2018-19,G,9.732051282051282,126.51666666666667
Alec Burks,Knicks,2020-21,F,25.719444444444445,462.95
Alec Burks,Knicks,2020-21,G,25.53494623655914,791.5833333333334
Alec Burks,Knicks,2021-22,F,29.70111111111111,445.51666666666665
Alec Burks,Knicks,2021-22,G,28.366666666666667,1872.2
Alec Burks,Knicks,2023-24,F,12.904166666666667,51.61666666666667
Alec Burks,Knicks,2023-24,G,13.65,259.35
Alec Burks,Pistons,2022-23,F,30.25,30.25
Alec Burks,Pistons,2022-23,G,21.843666666666667,1092.1833333333334
Alec Burks,Pistons,2023-24,G,20.94496124031008,900.6333333333333
Alec Burks,Warriors,2019-20,F,29.176666666666666,437.65
Alec Burks,Warriors,2019-20,G,28.862121212121213,952.45
Aleksej Pokusevski,Hornets,2023-24,F,19.162962962962965,344.93333333333334
Aleksej Pokusevski,Thunder,2020-21,C,18.298333333333336,182.98333333333335
Aleksej Pokusevski,Thunder,2020-21,F,25.036021505376343,776.1166666666667
Aleksej Pokusevski,Thunder,2020-21,G,32.704166666666666,130.81666666666666
Aleksej Pokusevski,Thunder,2021-22,C,17.775,213.29999999999998
Aleksej Pokusevski,Thunder,2021-22,F,21.320740740740742,959.4333333333334
Aleksej Pokusevski,Thunder,2021-22,G,15.004166666666666,60.016666666666666
Aleksej Pokusevski,Thunder,2022-23,C,19.743518518518517,355.3833333333333
Aleksej Pokusevski,Thunder,2022-23,F,21.623958333333334,345.98333333333335
Aleksej Pokusevski,Thunder,2023-24,C,8.345833333333333,33.38333333333333
Aleksej Pokusevski,Thunder,2023-24,F,4.013333333333334,20.066666666666666
Aleksej Pokusevski,Thunder,2023-24,G,7.0,7.0
Alen Smailagic,Warriors,2019-20,C,9.921428571428573,138.9
Alen Smailagic,Warriors,2020-21,C,5.59,83.85
Alex Abrines,Thunder,2016-17,G,15.51813725490196,1055.2333333333333
Alex Abrines,Thunder,2017-18,G,15.122666666666667,1134.2
Alex Abrines,Thunder,2018-19,G,18.97741935483871,588.3
Alex Caruso,Bulls,2021-22,F,28.343939393939397,623.5666666666667
Alex Caruso,Bulls,2021-22,G,27.54035087719298,523.2666666666667
Alex Caruso,Bulls,2022-23,F,23.93578431372549,813.8166666666667
Alex Caruso,Bulls,2022-23,G,23.077777777777776,761.5666666666666
Alex Caruso,Bulls,2023-24,F,28.880555555555556,1212.9833333333333
Alex Caruso,Bulls,2023-24,G,28.53045977011494,827.3833333333333
Alex Caruso,Lakers,2017-18,F,20.866666666666667,20.866666666666667
Alex Caruso,Lakers,2017-18,G,15.029629629629632,541.0666666666667
Alex Caruso,Lakers,2018-19,F,29.127777777777776,87.38333333333333
Alex Caruso,Lakers,2018-19,G,20.170454545454547,443.75
Alex Caruso,Lakers,2019-20,F,19.329166666666666,77.31666666666666
Alex Caruso,Lakers,2019-20,G,18.299444444444443,1097.9666666666667
Alex Caruso,Lakers,2020-21,F,19.75,19.75
Alex Caruso,Lakers,2020-21,G,20.98918128654971,1196.3833333333334
Alex Len,Hawks,2018-19,C,20.053679653679655,1544.1333333333334
Alex Len,Hawks,2019-20,C,18.627916666666668,745.1166666666667
Alex Len,Kings,2019-20,C,15.027777777777777,225.41666666666666
Alex Len,Kings,2021-22,C,15.902564102564103,620.2
Alex Len,Kings,2022-23,C,6.201923076923077,161.25
Alex Len,Kings,2023-24,C,9.255555555555555,444.26666666666665
Alex Len,Raptors,2020-21,C,10.828571428571427,75.8
Alex Len,Suns,2013-14,C,8.591666666666667,326.48333333333335
Alex Len,Suns,2013-14,F,8.95,35.8
Alex Len,Suns,2014-15,C,21.94452736318408,1470.2833333333333
Alex Len,Suns,2014-15,F,23.866666666666667,47.733333333333334
Alex Len,Suns,2015-16,C,20.342857142857145,996.8000000000001
Alex Len,Suns,2015-16,F,28.414367816091954,824.0166666666667
Alex Len,Suns,2016-17,C,20.025714285714287,1401.8
Alex Len,Suns,2016-17,F,22.542857142857144,157.8
Alex Len,Suns,2017-18,C,20.282456140350874,1156.1
Alex Len,Suns,2017-18,F,19.940277777777776,239.28333333333333
Alex Len,Wizards,2020-21,C,15.84122807017544,902.95
Alex Poythress,76ers,2016-17,F,26.138888888888886,156.83333333333331
Alex Poythress,Hawks,2018-19,F,14.519047619047617,304.9
Alex Poythress,Pacers,2017-18,F,4.164666666666666,104.11666666666666
Alexey Shved,76ers,2014-15,G,16.769607843137255,285.0833333333333
Alexey Shved,Knicks,2014-15,G,26.447916666666664,423.16666666666663
Alexey Shved,Rockets,2014-15,G,6.555555555555555,59.0
Alexey Shved,Timberwolves,2012-13,F,32.88333333333333,131.53333333333333
Alexey Shved,Timberwolves,2012-13,G,23.397260273972602,1708.0
Alexey Shved,Timberwolves,2013-14,F,14.683333333333335,44.050000000000004
Alexey Shved,Timberwolves,2013-14,G,10.333888888888888,620.0333333333333
Alexis Ajinca,Mavericks,2010-11,F,7.525,75.25
Alexis Ajinca,Pelicans,2013-14,C,16.862820512820512,876.8666666666667
Alexis Ajinca,Pelicans,2013-14,F,18.441666666666666,73.76666666666667
Alexis Ajinca,Pelicans,2014-15,C,13.663055555555555,819.7833333333333
Alexis Ajinca,Pelicans,2014-15,F,17.1,136.8
Alexis Ajinca,Pelicans,2015-16,C,13.010992907801418,611.5166666666667
Alexis Ajinca,Pelicans,2015-16,F,20.766666666666666,249.2
Alexis Ajinca,Pelicans,2016-17,C,13.966091954022987,405.01666666666665
Alexis Ajinca,Pelicans,2016-17,F,17.933333333333334,179.33333333333334
Alexis Ajinca,Raptors,2010-11,C,11.025694444444445,264.6166666666667
Alfonzo McKinnie,Bulls,2021-22,F,12.136274509803922,206.31666666666666
Alfonzo McKinnie,Cavaliers,2019-20,F,14.836250000000001,593.45
Alfonzo McKinnie,Lakers,2020-21,G,6.615811965811965,258.01666666666665
Alfonzo McKinnie,Raptors,2017-18,G,3.816666666666667,53.43333333333334
